01|Čína je schopna je postavit za třetinu času potřebného v jiných zemích a se zlomkovými náklady.
02|Čína je schopna je postavit za třetinu času potřebného v jiných zemích.
03|Továrnu na elektromobily.
04|Alespoň podle dat Goldman.
05|Tím to ale nekončí.
06|Továrna na baterie bude stát v USA o 80 % více než v Číně.
07|Přesto USA masivně investují do výroby a vývoje baterií, protože ví, že tohle musí dohnat.
08|Podle odhadů se USA podaří díky investicím získat alespoň soběstačnost ve výrobě baterií.
09|Ale v produkci lithia zdaleka ne.
10|Financial Times ukazuje další příklady, jak čínské firmy zabývajících se čistými technologiemi představuje obrovskou konkurenční hrozbu pro západní výrobní odvětví, včetně starších výrobců automobilů a energetických gigantů.
11|Co říkají čísla?
12|Čína má například 80 % ze všech fází výroby solárních panelů a 60 % větrných turbín a baterií pro elektromobily.
13|V případě některých materiálů používaných v bateriích a specializovanějších výrobcích se podíl Číny na trhu blíží 100 %.
14|Čína je hlavním producentem alespoň jedné fáze dodavatelského řetězce 35 z 54 nerostných surovin, které jsou pro USA považovány za kritické.
15|Například galium.
16|To USA využívají ve vojenství, včetně protiraketové obrany nové generace a radarových systémů.
17|Čína je přitom odpovědná za 98% světových dodávek.
18|Nebo grafit.
19|Ten se používá v anodách v lithiumiontové baterii.
20|Čína má podíl na zpracování 70 %.
21|K ovládnutí důležitých částí dodavatelských řetězců ještě přidejme, že čínská vláda investovala v letech 2009-2021 do sektoru elektromobilů 125 mld. USD.
22|Jako utekla nám Čína hodně.
23|Co dělat?
24|Investice, geopolitika, podpora inovací, vzdělávání, start-upů, jasné priority vlády, které podpoří.
25|A ještě jeden pohled na Čínu.
26|Šéf Mercedes-Benz, Ola Källenius, vyzval Brusel, aby snížil cla na elektromobily dovážené z Číny.
27|Paradoxně v době, kdy Evropská komise zvažuje zvýšení dovozních cel.
28|Důvod pro snížení cel?
29|Říká, že větší konkurence z Číny by evropské automobilky dotlačila inovovat a vyrábět lepší, levnější auta.
30|Volání po konkurenci je v zásadě správně.
31|Někdy je potřeba ale sledovat peníze.
32|Zvýšení cel v EU pravděpodobně vyvolá protiopatření ze strany Číny.
33|No, a to se nebude líbit právě například Mercedes-Benz, který prodává v Číně více třetinu svých aut.
34|Volkswagen 40%.
35|Čínské automobilky Geely a SAIC, které ovládá čínský stát, vlastní pětinu akcií společnosti Mercedes-Benz.
36|Mimochodem, v současné době podléhají čínské elektromobily při dovozu do EU 10% clu.
37|Evropské automobilky platí při vývozu do Číny 15 procent.
